Source_table,Source_column,Target_table,Target_column,Expression,Calculation_type
dimscenario.csv,ScenarioKey,dimscenario,ScenarioKey,ScenarioKey,COPY
dimscenario.csv,ScenarioName,dimscenario,ScenarioName,ScenarioName,COPY
dimcustomer.csv,AddressLine1,dimcustomer,AddressLine1,AddressLine1,COPY
dimcustomer.csv,AddressLine2,dimcustomer,AddressLine2,AddressLine2,COPY
dimcustomer.csv,BirthDate,dimcustomer,BirthDate,BirthDate,COPY
dimcustomer.csv,CommuteDistance,dimcustomer,CommuteDistance,CommuteDistance,COPY
dimcustomer.csv,CustomerAlternateKey,dimcustomer,CustomerAlternateKey,CustomerAlternateKey,COPY
dimcustomer.csv,CustomerKey,dimcustomer,CustomerKey,CustomerKey,COPY
dimproduct_part1.csv,ProductAlternateKey,dimproductfiltered.csv,AccountCodeAlternateKey,ProductKey + ProductAlternateKey,MULTI_SOURCE_CALCULATION
dimproduct_part1.csv,ProductAlternateKey,dimproduct,ProductAlternateKey,ProductKey + ProductAlternateKey,MULTI_SOURCE_CALCULATION
dimproduct_part1.csv,ProductKey,dimproductfiltered.csv,AccountCodeAlternateKey,ProductKey + ProductAlternateKey,MULTI_SOURCE_CALCULATION
dimproduct_part1.csv,ProductKey,dimproduct,ProductKey,ProductKey,COPY
dimproduct_part1.csv,ProductKey,dimproduct,ProductAlternateKey,ProductKey + ProductAlternateKey,MULTI_SOURCE_CALCULATION
dimproduct_part1.csv,ProductLine,dimproduct,ProductLine,ProductLine,COPY
dimproduct_part1.csv,ProductSubcategoryKey,dimproduct,ProductSubcategoryKey,ProductSubcategoryKey,COPY
dimproduct_part1.csv,ReorderPoint,dimproduct,ReorderPoint,ReorderPoint,COPY
dimproduct_part1.csv,SafetyStockLevel,dimproduct,SafetyStockLevel,SafetyStockLevel,COPY
dimproduct_part1.csv,Size,dimproduct,Size,Size,COPY
dimproduct_part1.csv,SizeRange,dimproduct,SizeRange,SizeRange,COPY
dimproduct_part1.csv,SizeUnitMeasureCode,dimproduct,SizeUnitMeasureCode,SizeUnitMeasureCode,COPY
dimproduct_part1.csv,SpanishProductName,dimproduct,SpanishProductName,SpanishProductName,COPY
dimproduct_part1.csv,StandardCost,dimproduct,StandardCost,StandardCost,COPY
dimproduct_part1.csv,StartDate,dimproduct,StartDate,StartDate,COPY
dimproduct_part1.csv,Status,dimproduct,Status,Status,COPY
dimproduct_part1.csv,Style,dimproduct,Style,Style,COPY
dimproduct_part1.csv,ThaiDescription,dimproduct,ThaiDescription,ThaiDescription,COPY
dimproduct_part1.csv,TurkishDescription,dimproduct,TurkishDescription,TurkishDescription,COPY
dimproduct_part1.csv,Weight,dimproduct,Weight,Weight,COPY
dimproduct_part1.csv,WeightUnitMeasureCode,dimproduct,WeightUnitMeasureCode,WeightUnitMeasureCode,COPY
dimproduct_part2.csv,ArabicDescription,dimproduct,JapaneseDescription,ArabicDescription,COPY
dimproduct_part2.csv,ChineseDescription,dimproduct,ChineseDescription,ChineseDescription,COPY
dimproduct_part2.csv,Class,dimproduct,Class,Class,COPY
dimproduct_part2.csv,Color,dimproduct,Color,Color,COPY
dimproduct_part2.csv,DaysToManufacture,dimproduct,DaysToManufacture,DaysToManufacture,COPY
dimproduct_part2.csv,DealerPrice,dimproduct,DealerPrice,DealerPrice + 'EUR',SINGLE_SOURCE_CALCULATION
dimproduct_part2.csv,EndDate,dimproduct,EndDate,EndDate,COPY
dimproduct_part2.csv,EnglishDescription,dimproduct,EnglishDescription,EnglishDescription,COPY
dimproduct_part2.csv,EnglishProductName,dimproduct,EnglishProductName,EnglishProductName,COPY
dimproduct_part2.csv,FinishedGoodsFlag,dimproduct,FinishedGoodsFlag,FinishedGoodsFlag,COPY
dimproduct_part2.csv,FrenchDescription,dimproduct,FrenchDescription,FrenchDescription,COPY
dimproduct_part2.csv,FrenchProductName,dimproduct,FrenchProductName,FrenchProductName,COPY
dimproduct_part2.csv,GermanDescription,dimproduct,GermanDescription,GermanDescription,COPY
dimproduct_part2.csv,LargePhoto,dimproduct,LargePhoto,LargePhoto,COPY
dimproduct_part2.csv,ListPrice,dimproduct,ListPrice,ListPrice,COPY
dimproduct_part2.csv,ModelName,dimproduct,ModelName,ID + ' ' + ModelName,MULTI_SOURCE_CALCULATION
dimproduct_part2.csv,ID,dimproduct,ModelName,ID + ' ' + ModelName,MULTI_SOURCE_CALCULATION
dimaccount.csv,AccountCodeAlternateKey,dimaccount,AccountCodeAlternateKey,AccountCodeAlternateKey,COPY
dimaccount.csv,AccountDescription,dimaccount,AccountDescription,AccountDescription,COPY
dimaccount.csv,AccountKey,dimaccount,AccountKey,AccountKey,COPY
dimaccount.csv,AccountType,dimaccount,AccountType,AccountType,COPY
dimaccount.csv,CustomMemberOptions,dimaccount,CustomMemberOptions,CustomMemberOptions,COPY
dimaccount.csv,CustomMembers,dimaccount,CustomMembers,CustomMembers,COPY
dimaccount.csv,Operator,dimaccount,Operator,Operator,COPY
dimaccount.csv,ParentAccountCodeAlternateKey,dimaccount,ParentAccountCodeAlternateKey,ParentAccountCodeAlternateKey,COPY
dimaccount.csv,ParentAccountKey,dimaccount,ParentAccountKey,ParentAccountKey,COPY
dimaccount.csv,ValueType,dimaccount,ValueType,ValueType,COPY
dimpromotion.csv,DiscountPct,dimpromotion,DiscountPct,DiscountPct,COPY
dimpromotion.csv,EndDate,dimpromotion,EndDate,EndDate,COPY
dimpromotion.csv,EnglishPromotionCategory,dimpromotion,EnglishPromotionCategory,EnglishPromotionCategory,COPY
dimpromotion.csv,EnglishPromotionName,dimpromotion,EnglishPromotionName,EnglishPromotionName,COPY
dimpromotion.csv,EnglishPromotionType,dimpromotion,EnglishPromotionType,EnglishPromotionType,COPY
dimpromotion.csv,FrenchPromotionCategory,dimpromotion,FrenchPromotionCategory,FrenchPromotionCategory,COPY
dimpromotion.csv,FrenchPromotionName,dimpromotion,FrenchPromotionName,FrenchPromotionName,COPY
dimpromotion.csv,FrenchPromotionType,dimpromotion,FrenchPromotionType,FrenchPromotionType,COPY
dimpromotion.csv,MaxQty,dimpromotion,MaxQty,MaxQty,COPY
dimpromotion.csv,MinQty,dimpromotion,MinQty,MinQty,COPY
dimpromotion.csv,PromotionAlternateKey,dimpromotion,PromotionAlternateKey,PromotionAlternateKey,COPY
dimpromotion.csv,PromotionKey,dimpromotion,PromotionKey,PromotionKey,COPY
dimpromotion.csv,SpanishPromotionCategory,dimpromotion,SpanishPromotionCategory,SpanishPromotionCategory,COPY
dimpromotion.csv,SpanishPromotionName,dimpromotion,SpanishPromotionName,SpanishPromotionName,COPY
dimpromotion.csv,SpanishPromotionType,dimpromotion,SpanishPromotionType,SpanishPromotionType,COPY
dimpromotion.csv,StartDate,dimpromotion,StartDate,StartDate,COPY
factsurveyresponse.csv,Date,factsurveyresponse,DateKey,Date,COPY
factsurveyresponse.csv,DateKey,factsurveyresponse,Date,DateKey,COPY
factinternetsalesreason.csv,SalesOrderLineNumber,factinternetsalesreason,SalesOrderLineNumber,SalesOrderLineNumber,COPY
factinternetsalesreason.csv,SalesOrderNumber,factinternetsalesreason,SalesOrderNumber,SalesOrderNumber,COPY
factinternetsalesreason.csv,SalesReasonKey,factinternetsalesreason,SalesReasonKey,SalesReasonKey,COPY
dimreseller.csv,AddressLine1,dimreseller,AddressLine1,AddressLine1,COPY
dimreseller.csv,AddressLine2,dimreseller,AddressLine2,AddressLine2,COPY
dimreseller.csv,AnnualRevenue,dimreseller,AnnualRevenue,AnnualRevenue,COPY
dimreseller.csv,AnnualSales,dimreseller,AnnualSales,AnnualSales,COPY
dimreseller.csv,BankName,dimreseller,BankName,BankName,COPY
dimreseller.csv,BusinessType,dimreseller,BusinessType,BusinessType,COPY
dimreseller.csv,FirstOrderYear,dimreseller,FirstOrderYear,FirstOrderYear,COPY
dimreseller.csv,GeographyKey,dimreseller,GeographyKey,GeographyKey,COPY
dimreseller.csv,LastOrderYear,dimreseller,LastOrderYear,LastOrderYear,COPY
dimreseller.csv,MinPaymentAmount,dimreseller,MinPaymentAmount,MinPaymentAmount,COPY
dimreseller.csv,MinPaymentType,dimreseller,MinPaymentType,MinPaymentType,COPY
dimreseller.csv,NumberEmployees,dimreseller,NumberEmployees,NumberEmployees,COPY
dimreseller.csv,OrderFrequency,dimreseller,OrderFrequency,OrderFrequency,COPY
dimreseller.csv,OrderMonth,dimreseller,OrderMonth,OrderMonth,COPY
dimreseller.csv,Phone,dimreseller,Phone,Phone,COPY
dimreseller.csv,ProductLine,dimreseller,ProductLine,ProductLine,COPY
dimreseller.csv,ResellerAlternateKey,dimreseller,ResellerAlternateKey,ResellerAlternateKey,COPY
dimreseller.csv,ResellerKey,dimreseller,ResellerKey,ResellerKey,COPY
dimreseller.csv,ResellerName,dimreseller,ResellerName,ResellerName,COPY
dimreseller.csv,YearOpened,dimreseller,YearOpened,YearOpened,COPY
dimsalesterritory.csv,SalesTerritoryAlternateKey,dimsalesterritory,SalesTerritoryAlternateKey,SalesTerritoryAlternateKey,COPY
dimsalesterritory.csv,SalesTerritoryCountry,dimsalesterritory,SalesTerritoryCountry,SalesTerritoryCountry,COPY
dimsalesterritory.csv,SalesTerritoryGroup,dimsalesterritory,SalesTerritoryGroup,SalesTerritoryGroup,COPY
dimsalesterritory.csv,SalesTerritoryImage,dimsalesterritory,SalesTerritoryImage,SalesTerritoryImage,COPY
dimsalesterritory.csv,SalesTerritoryKey,dimsalesterritory,SalesTerritoryKey,SalesTerritoryKey,COPY
dimsalesterritory.csv,SalesTerritoryRegion,dimsalesterritory,SalesTerritoryRegion,SalesTerritoryRegion,COPY
dimemployee.csv,EmployeeNationalIDAlternateKey,dimemployee,EmployeeNationalIDAlternateKey,EmployeeNationalIDAlternateKey,COPY
dimemployee.csv,EmployeePhoto,dimemployee,EmployeePhoto,EmployeePhoto,COPY
dimemployee.csv,EndDate,dimemployee,EndDate,EndDate,COPY
dimemployee.csv,FirstName,dimemployee,FirstName,FirstName,COPY
dimemployee.csv,Gender,dimemployee,Gender,Gender,COPY
dimemployee.csv,HireDate,dimemployee,HireDate,HireDate,COPY
dimemployee.csv,LastName,dimemployee,LastName,LastName,COPY
dimemployee.csv,LoginID,dimemployee,LoginID,LoginID,COPY
dimemployee.csv,MaritalStatus,dimemployee,MaritalStatus,MaritalStatus,COPY
dimemployee.csv,MiddleName,dimemployee,MiddleName,MiddleName,COPY
dimemployee.csv,NameStyle,dimemployee,NameStyle,NameStyle,COPY
dimemployee.csv,ParentEmployeeKey,dimemployee,ParentEmployeeKey,ParentEmployeeKey,COPY
dimemployee.csv,ParentEmployeeNationalIDAlternateKey,dimemployee,ParentEmployeeNationalIDAlternateKey,ParentEmployeeNationalIDAlternateKey,COPY
dimemployee.csv,PayFrequency,dimemployee,PayFrequency,PayFrequency,COPY
dimemployee.csv,Phone,dimemployee,Phone,Phone,COPY
dimemployee.csv,SalariedFlag,dimemployee,SalariedFlag,SalariedFlag,COPY
dimemployee.csv,SalesPersonFlag,dimemployee,SalesPersonFlag,SalesPersonFlag,COPY
dimemployee.csv,SalesTerritoryKey,dimemployee,SalesTerritoryKey,SalesTerritoryKey,COPY
dimemployee.csv,SickLeaveHours,dimemployee,SickLeaveHours,SickLeaveHours,COPY
dimemployee.csv,StartDate,dimemployee,StartDate,StartDate,COPY
dimemployee.csv,Status,dimemployee,Status,Status,COPY
dimemployee.csv,Title,dimemployee,Title,Title,COPY
dimemployee.csv,VacationHours,dimemployee,VacationHours,VacationHours,COPY
dimproductcategory.csv,EnglishProductCategoryName,dimproductcategory,EnglishProductCategoryName,EnglishProductCategoryName,COPY
dimproductcategory.csv,FrenchProductCategoryName,dimproductcategory,FrenchProductCategoryName,FrenchProductCategoryName,COPY
dimproductcategory.csv,ProductCategoryAlternateKey,dimproductcategory,ProductCategoryAlternateKey,ProductCategoryAlternateKey,COPY
dimproductcategory.csv,ProductCategoryKey,dimproductcategory,ProductCategoryKey,ProductCategoryKey,COPY
dimproductcategory.csv,SpanishProductCategoryName,dimproductcategory,SpanishProductCategoryName,SpanishProductCategoryName,COPY
factadditionalinternationalproductdescription.csv,CultureName,factadditionalinternationalproductdescription,CultureName,CultureName,COPY
factadditionalinternationalproductdescription.csv,CultureName,factadditionalinternationalproductdescription,CultureName,CultureName,COPY
factadditionalinternationalproductdescription.csv,ProductDescription,factadditionalinternationalproductdescription,ProductDescription,ProductDescription,COPY
factadditionalinternationalproductdescription.csv,ProductDescription,factadditionalinternationalproductdescription,ProductDescription,ProductDescription,COPY
factadditionalinternationalproductdescription.csv,ProductKey,factadditionalinternationalproductdescription,ProductKey,ProductKey,COPY
factadditionalinternationalproductdescription.csv,ProductKey,factadditionalinternationalproductdescription,ProductKey,ProductKey,COPY
dimcurrency.csv,CurrencyAlternateKey,dimcurrency,CurrencyAlternateKey,CurrencyAlternateKey,COPY
dimcurrency.csv,CurrencyKey,dimcurrency,CurrencyKey,CurrencyKey,COPY
dimcurrency.csv,CurrencyName,dimcurrency,CurrencyName,CurrencyName,COPY
factresellersales.csv,ProductKey,factresellersales,ProductKey,ProductKey,COPY
factresellersales.csv,CarrierTrackingNumber,factresellersales,CarrierTrackingNumber,CarrierTrackingNumber,COPY
factresellersales.csv,CurrencyKey,factresellersales,CurrencyKey,CurrencyKey,COPY
factresellersales.csv,CustomerPONumber,factresellersales,CustomerPONumber,CustomerPONumber,COPY
factresellersales.csv,DiscountAmount,factresellersales,DiscountAmount,DiscountAmount,COPY
factresellersales.csv,DueDate,factresellersales,DueDate,DueDate,COPY
factresellersales.csv,DueDateKey,factresellersales,DueDateKey,DueDateKey,COPY
factresellersales.csv,EmployeeKey,factresellersales,EmployeeKey,EmployeeKey,COPY
factresellersales.csv,ExtendedAmount,factresellersales,ExtendedAmount,ExtendedAmount,COPY
factresellersales.csv,Freight,factresellersales,Freight,Freight,COPY
factresellersales.csv,OrderDate,factresellersales,OrderDate,OrderDate,COPY
factresellersales.csv,OrderDateKey,factresellersales,OrderDateKey,OrderDateKey,COPY
factresellersales.csv,OrderQuantity,factresellersales,OrderQuantity,OrderQuantity,COPY
factresellersales.csv,ProductStandardCost,factresellersales,ProductStandardCost,ProductStandardCost,COPY
factresellersales.csv,PromotionKey,factresellersales,PromotionKey,PromotionKey,COPY
factresellersales.csv,ResellerKey,factresellersales,ResellerKey,ResellerKey,COPY
factresellersales.csv,RevisionNumber,factresellersales,RevisionNumber,RevisionNumber,COPY
factresellersales.csv,SalesAmount,factresellersales,SalesAmount,SalesAmount,COPY
factresellersales.csv,SalesOrderLineNumber,factresellersales,SalesOrderLineNumber,SalesOrderLineNumber,COPY
factresellersales.csv,SalesOrderNumber,factresellersales,SalesOrderNumber,SalesOrderNumber,COPY
factresellersales.csv,SalesTerritoryKey,factresellersales,SalesTerritoryKey,SalesTerritoryKey,COPY
factresellersales.csv,ShipDate,factresellersales,ShipDate,ShipDate,COPY
factresellersales.csv,ShipDateKey,factresellersales,ShipDateKey,ShipDateKey,COPY
factresellersales.csv,TaxAmt,factresellersales,TaxAmt,TaxAmt,COPY
factresellersales.csv,TotalProductCost,factresellersales,TotalProductCost,TotalProductCost,COPY
factresellersales.csv,UnitPrice,factresellersales,UnitPrice,UnitPrice,COPY
factresellersales.csv,UnitPriceDiscountPct,factresellersales,UnitPriceDiscountPct,UnitPriceDiscountPct,COPY
internetsalesdatafeed,ProductKey,factinternetsales,ProductKey,ProductKey,COPY
internetsalesdatafeed,DueDateKey,factinternetsales,DueDateKey,DueDateKey,COPY
internetsalesdatafeed,ShipDateKey,factinternetsales,ShipDateKey,ShipDateKey,COPY
internetsalesdatafeed,CustomerKey,factinternetsales,CustomerKey,CustomerKey,COPY
internetsalesdatafeed,CurrencyKey,factinternetsales,CurrencyKey,CurrencyKey,COPY
internetsalesdatafeed,PromotionKey,factinternetsales,PromotionKey,PromotionKey,COPY
internetsalesdatafeed,SalesTerritoryKey,factinternetsales,SalesTerritoryKey,TRIM(SalesTerritoryKey),SINGLE_SOURCE_CALCULATION
internetsalesdatafeed,SalesOrderNumber,factinternetsales,SalesOrderNumber,SUM(SalesOrderNumber),SINGLE_SOURCE_CALCULATION
internetsalesdatafeed,SalesOrderLineNumber,factinternetsales,SalesOrderLineNumber,SalesOrderLineNumber,COPY
internetsalesdatafeed,RevisionNumber,factinternetsales,RevisionNumber,RevisionNumber,COPY
